Rank,Company,Description,Price,Num. of Reviews,Rating,Badge,Size (in),Size (Round),Color
1, Florida Tile Home Collection ,Michelangelo Calacatta Rectified 12 in. x 24 in. Porcelain Floor and Wall Tile (13.3 sq. ft. /case),2.29,135,82.962,Top Rated,12 in. x 24 in.,12 in. x 24 in.,
2, Marazzi ,Montagna Dapple Gray 6 in. x 24 in. Porcelain Floor and Wall Tile (14.53 sq. ft. / case),1.97,1438,93.7,,6 in. x 24 in.,6 in. x 24 in.,
3, MSI ,Crystal Bianco 12 in. x 24 in. Polished Porcelain Marble Look Floor and Wall Tile (16 sq. ft./Case),3.29,146,91.78,,12 in. x 24 in.,12 in. x 24 in.,
4, Marazzi ,Sanden Calacatta Gold Marble Matte 12 in. x 24 in. Glazed Porcelain Floor and Wall Tile (15.6 sq. ft./Case),2.29,100,90.2,,12 in. x 24 in.,12 in. x 24 in.,
5, TrafficMaster ,Strata 12 in. x 24 in. Matte Ceramic Stone Look Floor and Wall Tile (16 sq. ft./Case),1.79,291,91.752,,12 in. x 24 in.,12 in. x 24 in.,
6, TrafficMaster ,Portland Stone Beige 18 in. x 18 in. Glazed Ceramic Floor and Wall Tile (17.44 sq. ft. / case),1.09,705,84.368,Exclusive,18 in. x 18 in.,18 in. x 18 in.,
7, Home Decorators Collection ,Carrara 12 in. x 24 in. Polished Porcelain Stone Look Floor and Wall Tile (16 sq. ft./Case),1.99,765,92,Best Seller,12 in. x 24 in.,12 in. x 24 in.,
8, Marazzi ,Montagna Wood Vintage Chic 6 in. x 24 in. Porcelain Floor and Wall Tile (14.53 sq. ft. / case),2.59,958,93.904,,6 in. x 24 in.,6 in. x 24 in.,
9, Daltile ,Baker Wood 6 in. x 24 in. Walnut Glazed Porcelain Floor and Wall Tile (14.55 sq. ft./Case),1.49,235,90.808,,6 in. x 24 in.,6 in. x 24 in.,
10, TrafficMaster ,Glenwood Fog 7 in. x 20 in. Ceramic Floor and Wall Tile (10.89 sq. ft. / case),89,665,93.294,Exclusive,7 in. x 20 in.,7 in. x 20 in.,
11, Marazzi ,Travisano Trevi 18 in. x 18 in. Porcelain Floor and Wall Tile (17.6 sq. ft. / case),1.99,1323,92.048,,18 in. x 18 in.,18 in. x 18 in.,
12, Daltile ,Nova Falls Gray 12 in. x 24 in. Porcelain Floor and Wall Tile (15.6 sq. ft./Case),1.97,303,94.324,Exclusive,12 in. x 24 in.,12 in. x 24 in.,
13, Corso Italia ,Alpe Graphite 12 in. x 24 in. Porcelain Floor and Wall Tile (15.50 sq. ft./Case),1.99,285,94.948,,12 in. x 24 in.,12 in. x 24 in.,
14, TrafficMaster ,Baja 12 in. x 12 in. Beige Ceramic Floor and Wall Tile (15 sq. ft./case),65,228,88.772,,12 in. x 12 in.,12 in. x 12 in.,
15, Daltile ,Kemperstone Onyx Gray Polished 12 in. x 24 in. Glazed Porcelain Floor and Wall Tile (17.10 sq. ft./Case),2.79,48,93.334,,12 in. x 24 in.,12 in. x 24 in.,
16, Lifeproof ,Shadow Wood 6 in. x 24 in. Porcelain Floor and Wall Tile (14.55 sq. ft. / case),2.41,846,87.92,,6 in. x 24 in.,6 in. x 24 in.,
17, Florida Tile Home Collection ,Brilliance White Rectified 12 in. x 24 in. Porcelain Floor and Wall Tile (13.3 sq. ft. / case),2.31,52,88.076,,12 in. x 24 in.,12 in. x 24 in.,
18, Marazzi ,Travisano Trevi 12 in. x 12 in. Porcelain Floor and Wall Tile (14.40 sq. ft. / case),2.19,1323,92.048,,12 in. x 12 in.,12 in. x 12 in.,
19, Florida Tile Home Collection ,Wind River Beige 6 in. x 24 in. Porcelain Floor and Wall Tile (14 sq. ft. / case),2.09,704,91.904,,6 in. x 24 in.,6 in. x 24 in.,
20, MSI ,Encaustic Amantus 8 in. x 8 in. Matte Porcelain Patterned Look Floor and Wall Tile (5.16 sq. ft./Case),3.41,785,92.306,,8 in. x 8 in.,8 in. x 8 in.,
21, TrafficMaster ,Vigo Gris 12 in. x 24 in. Matte Ceramic Stone Look Floor and Wall Tile (16 sq. ft./Case),89,447,90.828,,12 in. x 24 in.,12 in. x 24 in.,
22, Daltile ,Glacier White 12 in. x 12 in. Ceramic Floor and Wall Tile (11 sq. ft. / case),1.09,354,85.65,,12 in. x 12 in.,12 in. x 12 in.,
23, Home Decorators Collection ,Kolasus 12 in. x 24 in. Matte Porcelain Stone Look Floor and Wall Tile (16 sq. ft./Case),2.52,572,91.748,,12 in. x 24 in.,12 in. x 24 in.,
24, MSI ,Montauk Black 12 in. x 24 in. Textured Slate Stone Look Floor and Wall Tile (10 sq. ft./Case),3.84,765,88.366,Best Seller,12 in. x 24 in.,12 in. x 24 in.,
25, Jeffrey Court ,Moonlight Gray 6 in. x 20 in. Glossy Ceramic Wall Tile (10.76 sq. ft./Case),3.69,57,92.28,,6 in. x 20 in.,6 in. x 20 in.,
26, Daltile ,Selwyn Bianco Calacatta 12 in. x 12 in. Glazed Porcelain Floor and Wall Tile (14.55 sq. ft. / Case),1.79,269,90.558,,12 in. x 12 in.,12 in. x 12 in.,
27, Florida Tile Home Collection ,Avante Bianco White 12 in. x 24 in. Matte Porcelain Floor and Wall Tile (13.3 sq. ft./case),1.99,33,87.272,,12 in. x 24 in.,12 in. x 24 in.,
28, Florida Tile Home Collection ,Denali Sunset Brown 8 in. x 36 in. Matte Porcelain Floor and Wall Tile (13.6 sq. ft./Case),2.39,16,98.75,,8 in. x 36 in.,8 in. x 36 in.,
29, MSI ,Metro Gris 12 in. x 24 in. Matte Porcelain Stone Look Floor and Wall Tile (16 sq. ft./Case),2.19,1094,85.558,,12 in. x 24 in.,12 in. x 24 in.,
30, Florida Tile Home Collection ,Michelangelo Calacatta Rectified 12 in. x 24 in. Porcelain Floor and Wall Tile (13.3 sq. ft. /case),2.29,135,82.962,Top Rated,12 in. x 24 in.,12 in. x 24 in.,
31, Marazzi ,Montagna Dapple Gray 6 in. x 24 in. Porcelain Floor and Wall Tile (14.53 sq. ft. / case),1.97,1438,93.7,,6 in. x 24 in.,6 in. x 24 in.,
32, Marazzi ,Sanden Calacatta Gold Marble Matte 12 in. x 24 in. Glazed Porcelain Floor and Wall Tile (15.6 sq. ft./Case),2.29,100,90.2,,12 in. x 24 in.,12 in. x 24 in.,
33, MSI ,Tuscany Azul 12 in. x 24 in. Polished Porcelain Stone Look Floor and Wall Tile (16 sq. ft./Case),1.99,111,94.774,,12 in. x 24 in.,12 in. x 24 in.,
34,,Capel Timber 6 in. x 24 in. Matte Ceramic Wood Look Floor and Wall Tile (16.8 sq. ft./Case),1,700,87.572,,6 in. x 24 in.,6 in. x 24 in.,
35, Marazzi ,Montagna Wood Vintage Chic 6 in. x 24 in. Porcelain Floor and Wall Tile (14.53 sq. ft. / case),2.59,958,93.904,,6 in. x 24 in.,6 in. x 24 in.,
36, Florida Tile Home Collection ,Sunset Wood Dark Grey 6 in. x 24 in. Porcelain Floor and Wall Tile (448 sq. ft./Pallet),2.27,10,72,,6 in. x 24 in.,6 in. x 24 in.,
37, Marazzi ,Travisano Trevi 18 in. x 18 in. Porcelain Floor and Wall Tile (17.6 sq. ft. / case),1.99,1323,92.048,,18 in. x 18 in.,18 in. x 18 in.,
38, TrafficMaster ,Vigo Beige 12 in. x 24 in. Matte Ceramic Stone Look Floor and Wall Tile (16 sq. ft./Case),89,447,90.828,,12 in. x 24 in.,12 in. x 24 in.,
39, Marazzi ,EpicClean Milton Arabescato Marble 12 in. x 24 in. Glazed Porcelain Floor and Wall Tile (15.6 sq. ft./Case),2.19,61,90.82,,12 in. x 24 in.,12 in. x 24 in.,
40, TrafficMaster ,Vigo Gris 12 in. x 24 in. Matte Ceramic Stone Look Floor and Wall Tile (16 sq. ft./Case),89,447,90.828,,12 in. x 24 in.,12 in. x 24 in.,
41, MSI ,Montecito 16 in. x 16 in. Matte Ceramic Stone Look Floor and Wall Tile (15.5 sq. ft./Case),98,152,77.236,,16 in. x 16 in.,16 in. x 16 in.,
42, Home Decorators Collection ,Kolasus 12 in. x 24 in. Matte Porcelain Stone Look Floor and Wall Tile (16 sq. ft./Case),2.52,572,91.748,,12 in. x 24 in.,12 in. x 24 in.,
43, Daltile ,Rivervale Silver Steel 18 in. x 36 in. Glazed Ceramic Floor and Wall Tile (12.89 sq. ft./Case),1.99,4,75,,18 in. x 36 in.,18 in. x 36 in.,
44, Florida Tile Home Collection ,Longitude Slate Grey 12 in. x 24 in. Matte Porcelain Floor and Wall Tile (13.62 sq. ft. / case),1.79,66,91.212,,12 in. x 24 in.,12 in. x 24 in.,
45, MSI ,Cementino Gray 11.81 in. x 23.56 in. Matte Porcelain Concrete Look Floor and Wall Tile (14 sq. ft./Case),1.64,190,87.578,,11.81 in. x 23.56 in.,12 in. x 24 in.,
46, TrafficMaster ,Portland Stone Gray 18 in. x 18 in. Glazed Ceramic Floor and Wall Tile (17.44 sq. ft. / case),1.09,705,84.368,Exclusive,18 in. x 18 in.,18 in. x 18 in.,
47, TrafficMaster ,Glenwood Cherry 7 in. x 20 in. Ceramic Floor and Wall Tile (10.89 sq. ft. / case),1.89,665,93.294,,7 in. x 20 in.,7 in. x 20 in.,
48, TrafficMaster ,Laguna Bay 12 in. x 12 in. Cream Ceramic Floor and Wall Tile (14.53 sq. ft. / case),54,291,85.774,Exclusive,12 in. x 12 in.,12 in. x 12 in.,
49, Daltile ,Kemperstone Onyx Gray Polished 12 in. x 24 in. Glazed Porcelain Floor and Wall Tile (17.10 sq. ft./Case),2.79,48,93.334,,12 in. x 24 in.,12 in. x 24 in.,
50, Daltile ,Catalina Canyon Noce 12 in. x 12 in. Porcelain Floor and Wall Tile (15 sq. ft. / Case),1.09,367,91.934,,12 in. x 12 in.,12 in. x 12 in.,
51, MSI ,Montauk Black 12 in. x 24 in. Textured Slate Stone Look Floor and Wall Tile (10 sq. ft./Case),3.84,765,88.366,Best Seller,12 in. x 24 in.,12 in. x 24 in.,
52, MSI ,Cancun Beige 12 in. x 24 in. Matte Ceramic Stone Look Floor and Wall Tile (16 sq. ft./Case),1.79,335,89.552,,12 in. x 24 in.,12 in. x 24 in.,
53, MSI ,Brillion Aspen Gris 12 in. x 24 in. Matte Ceramic Marble Look Floor and Wall Tile (14 sq. ft./Case),1.42,37,78.918,,12 in. x 24 in.,12 in. x 24 in.,
54, Daltile ,Cascade Ridge Slate 12 in. x 24 in. Ceramic Floor and Wall Tile (481.28 sq. ft./pallet),1.51,394,90.356,,12 in. x 24 in.,12 in. x 24 in.,
55, Home Decorators Collection ,Carrara 12 in. x 24 in. Polished Porcelain Floor and Wall Tile (448 sq. ft./Pallet),2.18,765,92,,12 in. x 24 in.,12 in. x 24 in.,
56, MSI ,Trinity Ivory 12 in. x 24 in. Matte Porcelain Stone Look Floor and Wall Tile (14 sq. ft./Case),2.09,157,87.006,,12 in. x 24 in.,12 in. x 24 in.,
57, MSI ,Black Ice 12 in. x 12 in. Polished Marble Floor and Wall Tile (5 sq. ft./Case),7.14,5,68,,12 in. x 12 in.,12 in. x 12 in.,
58, Marazzi ,Montagna Dapple Gray 6 in. x 24 in. Porcelain Floor and Wall Tile (14.53 sq. ft. / case),1.97,1438,93.7,,6 in. x 24 in.,6 in. x 24 in.,
59, MSI ,Quartzo Natural 24 in. x 24 in. Matte Ceramic Floor and Wall Tile (28 sq. ft./case),1.45,91,90.77,,24 in. x 24 in.,24 in. x 24 in.,
60, Florida Tile Home Collection ,Timber Grey 6 in. x 24 in. Porcelain Floor and Wall Tile (14 sq. ft. / case),1.99,105,95.048,,6 in. x 24 in.,6 in. x 24 in.,
61, MSI ,Nyon Gray 12 in. x 24 in. Polished Porcelain Floor and Wall Tile (16 sq. ft./Case),2.74,211,95.64,,12 in. x 24 in.,12 in. x 24 in.,
62, Marazzi ,EpicClean Milton Arabescato Marble 12 in. x 24 in. Glazed Porcelain Floor and Wall Tile (15.6 sq. ft./Case),2.19,61,90.82,,12 in. x 24 in.,12 in. x 24 in.,
63, Home Decorators Collection ,Kolasus 12 in. x 24 in. Polished Porcelain Stone Look Floor and Wall Tile (16 sq. ft./Case),3.29,572,91.748,,12 in. x 24 in.,12 in. x 24 in.,
64, Marazzi ,Modern Renewal Parchment 12 in. x 24 in. Glazed Porcelain Floor and Wall Tile (15.6 sq. ft. / case),1.97,153,92.68,,12 in. x 24 in.,12 in. x 24 in.,
65, Daltile ,Portland Stone Beige 18 in. x 18 in. Glazed Ceramic Floor and Wall Tile (348.8 sq. ft./Pallet),94,705,84.368,,18 in. x 18 in.,18 in. x 18 in.,
66, Marazzi ,Sanden Calacatta Gold Marble Matte 12 in. x 24 in. Glazed Porcelain Floor and Wall Tile (15.6 sq. ft./Case),2.29,100,90.2,,12 in. x 24 in.,12 in. x 24 in.,
67, MSI ,Brillion Aspen Gris 12 in. x 24 in. Matte Ceramic Floor and Wall Tile (2 sq. ft./Each),1.45,,,,12 in. x 24 in.,12 in. x 24 in.,
68, MSI ,Hillside Gray 12 in. x 24 in. Matte Porcelain Stone Look Floor and Wall Tile (16 sq. ft./Case),1.64,264,89.394,,12 in. x 24 in.,12 in. x 24 in.,
69, MSI ,Vintage Lace 7.87 in. x 35.5 in. Matte Porcelain Wood Look Floor and Wall Tile (14 sq. ft./Case),4.69,309,93.786,,7.87 in. x 35.5 in.,8 in. x 36 in.,
70, Marazzi ,Montagna Wood Vintage Chic 6 in. x 24 in. Porcelain Floor and Wall Tile (14.53 sq. ft. / case),2.59,958,93.904,,6 in. x 24 in.,6 in. x 24 in.,
71, Ivy Hill Tile ,Nord White 23.42 in. x 47.04 in. Natural Porcelain Floor and Wall Tile (15.5 sq. ft./Case),9.35,5,92,,23.42 in. x 47.04 in.,23 in. x 47 in.,
72, MSI ,Cararra 24 in. x 24 in. Polished Porcelain Floor and Wall Tile (16 sq. ft./Case),4.84,3,93.334,,24 in. x 24 in.,24 in. x 24 in.,
73, TrafficMaster ,Portland Stone Gray 18 in. x 18 in. Glazed Ceramic Floor and Wall Tile (2.25 sq. ft./Each),1.06,9,77.778,Exclusive,18 in. x 18 in.,18 in. x 18 in.,
74, MSI ,Simon Vein 12 in. x 24 in. Matte Ceramic Marble Look Wall Tile (16 sq. ft./Case),2.97,2,60,,12 in. x 24 in.,12 in. x 24 in.,
75, MSI ,Alexandra 12 in. x 24 in. Matte Porcelain Stone Look Floor and Wall Tile (16 sq. ft./Case),1.64,85,75.058,Best Seller,12 in. x 24 in.,12 in. x 24 in.,
76, MSI ,Ansley Cafe 9.38 in. x 37.5 in. Matte Ceramic Wood Look Floor and Wall Tile (14.76 sq. ft./Case),2.29,634,92.146,,9.38 in. x 37.5 in.,9 in. x 38 in.,
77, Daltile ,Glenwood Fog 7 in. x 20 in. Ceramic Floor and Wall Tile (392.04 sq. ft. / pallet),1.13,665,93.294,,7 in. x 20 in.,7 in. x 20 in.,
78, Daltile ,Rivervale Silver Steel 18 in. x 36 in. Glazed Ceramic Floor and Wall Tile (12.89 sq. ft./Case),1.99,4,75,,18 in. x 36 in.,18 in. x 36 in.,
79, Daltile ,Newgate Gray Marble Matte 12 in. x 24 in. Glazed Ceramic Floor and Wall Tile (15.04 sq. ft./Case),1.86,93,94.838,,12 in. x 24 in.,12 in. x 24 in.,
80, Florida Tile Home Collection ,Silver Sands Grey 12 in. x 24 in. Matte Porcelain Floor and Wall Tile (13.62 sq. ft./Case),2.49,63,87.936,,12 in. x 24 in.,12 in. x 24 in.,
81, MSI ,Converto Grigio 12 in. x 24 in. Matte Ceramic Concrete Look Floor and Wall Tile (16 sq. ft./Case),1.29,4,85,,12 in. x 24 in.,12 in. x 24 in.,
82, MSI ,Converto Grigio 12 in. x 24 in. Matte Ceramic Concrete Look Floor and Wall Tile (16 sq. ft./Case),1.29,4,85,,12 in. x 24 in.,12 in. x 24 in.,
83, Daltile ,Glenwood Cherry 7 in. x 20 in. Ceramic Floor and Wall Tile (392.04 sq. ft. / pallet),1.89,665,93.294,Exclusive,7 in. x 20 in.,7 in. x 20 in.,
84, TrafficMaster ,Vigo Beige 12 in. x 24 in. Matte Ceramic Floor and Wall Tile (448 sq. ft./Pallet),2.45,447,90.828,,12 in. x 24 in.,12 in. x 24 in.,
85, Marazzi ,Montagna Dapple Gray 6 in. x 24 in. Porcelain Floor and Wall Tile (14.53 sq. ft. / case),1.97,1438,93.7,,6 in. x 24 in.,6 in. x 24 in.,
86, MSI ,Napa Beige 12 in. x 24 in. Matte Ceramic Floor and Wall Tile (640 sq. ft./Pallet),2.28,44,88.636,,12 in. x 24 in.,12 in. x 24 in.,
87, MSI ,Belmond Obsidian 8 in. x 39.75 in. Matte Ceramic Floor and Wall Tile (566.61 sq. ft./Pallet),3.56,47,83.83,Top Rated,8 in. x 39.75 in.,8 in. x 40 in.,
88, MSI ,Lanikai Driftwood 8 in. x 36 in. Matte Porcelain Wood Look Floor and Wall Tile (14 sq. ft./Case),2.81,36,95,,8 in. x 36 in.,8 in. x 36 in.,
89, MSI ,Ansello Ivory 12 in. x 24 in. Matte Ceramic Stone Look Floor and Wall Tile (16 sq. ft./Case),2.8,5,88,,12 in. x 24 in.,12 in. x 24 in.,
90, MSI ,Celestse Gray 8 in. x 40 in. Matte Ceramic Floor and Wall Tile (566.1 sq. ft./Pallet),3.98,8,72.5,,8 in. x 40 in.,8 in. x 40 in.,
91, Marazzi ,Montagna Wood Vintage Chic 6 in. x 24 in. Porcelain Floor and Wall Tile (14.53 sq. ft. / case),2.59,958,93.904,,6 in. x 24 in.,6 in. x 24 in.,
92, Merola Tile ,Austina Natural 17-3/4 in. x 17-3/4 in. Ceramic Floor and Wall Tile (22.2 sq. ft./Case),3.87,9,95.556,,,17 in. x 17 in.,
93, MSI ,Belmond Mercury 8 in. x 40 in. Matte Ceramic Floor and Wall Tile (566.61 sq. ft./Pallet),3.56,47,83.83,Top Rated,8 in. x 40 in.,8 in. x 40 in.,
